Story ID,Prediction,Rationale
1,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Edmond Dantès was falsely accused and impris...
2,1,Evidence from three passages in the book 'In search of the castaways' supports the claim that Paganel knows Spanish and Portuguese.
3,1,Evidence confirms the claim.
7,1,Evidence from three passages in the book 'In search of the castaways' supports the claim.
15,1,Evidence confirms the claim that Paganel was a prisoner among Maoris for three days.
16,1,Evidence supports the claim that Paganel's mission was to discover the course of the Yaroo-tsang-bo-tsoo and settle whether it joins the Brahmapoot...
21,1,Evidence corroborates the information previously given by Paganel and Ayrton.
22,1,Evidence from the book 'In search of the castaways' supports the claim that Paganel studied Spanish and taught others about Southern-Hemisphere geo...
24,1,Evidence supports the claim that Paganel studied Spanish and taught Robert history on board the Duncan.
27,1,Evidence from three passages in the book 'In search of the castaways' supports the claim text.
28,1,Evidence confirms the claim.
30,1,Evidence confirms the claim.
33,1,Evidence corroborates the information previously given by Paganel and Ayrton.
37,1,Evidence confirms the claim.
38,1,Evidence from the book 'In search of the castaways' supports the claim that Ayrton was obstinate and refused to be questioned during his trial.
42,1,Evidence corroborates the information previously given by Paganel and Ayrton.
44,1,Evidence from three passages in the book 'In search of the castaways' supports the claim that Ayrton was present at the trial and did not show any ...
47,1,Evidence confirms the claim.
49,1,Evidence confirms the claim.
51,1,Evidence confirms the claim that Thalcave rode a horse named Thaouka.
52,1,Evidence confirms the claim.
53,1,Evidence confirms the claim that Thaouka was a magnificent and courageous horse.
56,1,Evidence confirms the claim.
58,1,"Evidence confirms the claim that Paganel taught Quechua, Spanish and French, showed European maps, the stars and the arithmetic of navigation."
59,1,Evidence confirms the claim that the Patagonian captain escaped captivity and returned to the mountains with rope-climbing and avalanche-reading sk...
60,1,Evidence confirms the claim.
61,1,Evidence supports the claim that Robert was brave and selfless.
64,1,Evidence supports the claim that Thalcave hoped to meet the chiefs in whose hands he doubted not that he should find Harry Grant and rescue him and...
70,1,Evidence from the book 'In search of the castaways' supports the claim that Lady Helena controlled her emotions to prevent her husband from leaving...
72,1,Evidence confirms the claim.
75,1,Evidence supports the claim that Paganel planned to feign death by volcanic eruption.
77,1,Evidence confirms the claim.
78,1,Evidence supports the claim that Glenarvan's people invaded the island and stole their fields.
80,1,Evidence confirms the claim.
81,1,Evidence confirms the claim that Glenarvan was not a chief or priest among his people.
82,1,Evidence confirms the claim.
85,1,Evidence confirms the claim.
86,1,Evidence confirms the claim.
87,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that the father of the narrator had a ruptured bl...
91,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Edmond Dantès was kept in strict solitary co...
93,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Napoleon secretly raised an army in Marseill...
94,1,Evidence from three passages in 'The Count of Monte Cristo' supports the claim that d'Avrigny allowed his private doctor to test a new sedative on ...
95,1,Evidence from three different sources confirms the claim.
97,1,Evidence from three passages in the book confirms that Barrois' symptoms were instantly recognized by the protagonist due to knowledge gathered whi...
101,1,Evidence from three passages in 'The Count of Monte Cristo' supports the claim that the individual joined a radical republican cell and spoke in ca...
103,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Napoleon distanced himself from former comra...
110,1,Evidence confirms the claim.
111,1,"Evidence confirms the claim that M. Noirtier had just sent for Morrel and Barrois, and they were hastening with rapid strides in the direction of t..."
114,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Dantès was able to decode ciphers in a fifte...
115,1,"The claim text describes Dantès' desire to live and his struggle against the idea of suicide after Faria's death. Evidence 1, 2, and 3 all mention ..."
119,1,Evidence confirms the claim that Faria was the secretary and intimate friend of Cardinal Spada.
121,1,Evidence confirms that Faria was the secretary and intimate friend of Cardinal Spada.
124,1,Evidence from three passages in the book 'The Count of Monte Cristo' supports the claim that Caderousse stole a mooring rope.
127,1,Evidence confirms the claim that Dantès considered suicide after Faria's death.
129,1,Evidence supports the claim that Dantès considered suicide after Faria's death.
131,1,Evidence confirms that Dantès considered suicide after the death of his companion Faria.
132,1,Evidence supports the claim that Dantès was a star student at Rome University and fluent in several languages.
133,1,Evidence supports the claim that Dantès was interested in learning from Faria and acquiring knowledge beyond his nautical life.
135,1,Evidence from three different passages in the book 'The Count of Monte Cristo' supports the claim that Edmond Dantès was a Bonapartist who took an ...
136,1,Evidence from three passages in the book 'The Count of Monte Cristo' supports the claim that Faria was a rational and logical person who could not ...
140,1,Evidence confirms the claim.
