Story ID,Prediction,Rationale
1,1,Evidence supports: Jacques Paganel's actions suggest that he was passionate about geography and had a strong interest in exploring new lands. His d...
2,0,"Contradiction (factual): The claim states that Paganel was made to stand as punishment for secretly studying Latin in the church school. However, t..."
3,1,Evidence supports: The evidence directly states that Paganel received a letter from Glenarvan with orders to sail to New Zealand.
4,0,Contradiction (factual): The claim is directly contradicted by Paganel's statement that Captain Grant is not in the place he was thought to be.
5,0,Contradiction (factual): The claim is directly contradicted by Paganel's statement that they were seeking Captain Grant in the wrong place.
6,0,Contradiction (temporal): The evidence directly contradicts the claim by describing a fierce argument between Captain Grant and Jacques Paganel ove...
7,0,Contradiction (factual): The character of Jacques Paganel in the novel contradicts the claim that he insisted on travelling light and left the team...
8,1,Evidence supports: These excerpts show that Paganel was able to win the trust of the native tribe by sketching star-maps and in return learned trac...
9,0,"Contradiction (capability): The claim states that Paganel accidentally slipped a farewell letter into an academic report, which ended the romance. ..."
10,0,"Contradiction (factual): The evidence contradicts the claim that Paganel was expelled by British colonists along the Murray River. Instead, he is s..."
11,1,Evidence supports: The evidence directly states that Paganel escaped from the pah and had a letter signed by Glenarvan.
12,0,Contradiction (factual): The character's statement directly contradicts the claim that he declined to take part in charting the maiden voyage of th...
13,0,Contradiction (temporal): The character's actions directly contradict the claim.
14,0,Contradiction (factual): This contradicts the claim that Paganel and MacNabb confirmed their identities by exchanging certain hand signs.
15,1,Evidence supports: The excerpts provide direct evidence that Paganel learned to gauge a tribe's degree of civilization by studying their bone ornam...
16,0,Contradiction (factual): The character of Jacques Paganel in the novel contradicts the claim that he was born in Calcutta to a British merchant fam...
17,1,"Evidence supports: These statements suggest that Paganel has difficulty with English, which could be due to his upbringing in both languages."
18,1,"Evidence supports: The excerpt directly states that Jacques Paganel found bribery entries in his father's old ledgers and reported them, which supp..."
19,0,Contradiction (factual): The character of Jacques Paganel does not match the claim that he was posted to a Mediterranean merchant fleet where he le...
